[SOL] autonomic:autonomic at 17:20:13
[SOL] autonomic:Light: 62 at 17:20:15
[SOL] autonomic:Light: 47 at 17:20:21
[SOL] autonomic:autonomic at 13:11:4
[SOL] autonomic:Light: 49 at 13:11:5
[SOL] autonomic:Light: 51 at 13:11:12
[SOL] autonomic:Light: 53 at 13:11:18
[SOL] autonomic:Light: 54 at 13:11:24
[SOL] autonomic:Light: 55 at 13:11:31
[SOL] autonomic:Light: 55 at 13:11:37
[SOL] autonomic:Light: 56 at 13:11:43
[SOL] autonomic:Light: 56 at 13:11:50
[SOL] autonomic:Light: 53 at 13:11:56
[SOL] autonomic:Light: 53 at 13:12:2
[SOL] autonomic:Light: 58 at 13:12:9
[SOL] autonomic:Light: 56 at 13:12:15
[SOL] autonomic:Light: 57 at 13:12:21
[SOL] autonomic:Light: 56 at 13:12:28
[SOL] autonomic:Light: 57 at 13:12:34
[SOL] autonomic:autonomic at 13:13:4
[SOL] autonomic:Light: 57 at 13:13:5
[SOL] autonomic:Light: 22 at 13:13:12
[SOL] autonomic:autonomic at 13:18:34
[SOL] autonomic:Light: 53 at 13:18:35
[SOL] autonomic:Light: 57 at 13:18:42
[SOL] autonomic:autonomic at 13:20:30
[SOL] autonomic:Light: 67 at 13:20:32
[SOL] autonomic:Light: 68 at 13:20:38
[SOL] autonomic:Light: 66 at 13:20:45
[SOL] autonomic:Light: 65 at 13:20:51
[SOL] autonomic:Light: 64 at 13:20:57
[SOL] autonomic:Light: 66 at 13:21:4
[SOL] autonomic:Light: 68 at 13:21:10
[SOL] autonomic:Light: 68 at 13:21:17
[SOL] autonomic:Light: 66 at 13:21:23
[SOL] autonomic:Light: 66 at 13:21:29
[SOL] autonomic:Light: 66 at 13:21:36
[SOL] autonomic:Light: 67 at 13:21:42
[SOL] autonomic:Light: 66 at 13:21:48
[SOL] autonomic:Light: 67 at 13:21:55
[SOL] autonomic:Light: 68 at 13:22:1
[SOL] autonomic:Light: 67 at 13:22:7
[SOL] autonomic:Light: 66 at 13:22:14
[SOL] autonomic:Light: 68 at 13:22:20
[SOL] autonomic:Light: 65 at 13:22:26
[SOL] autonomic:Light: 66 at 13:22:33
[SOL] autonomic:Light: 70 at 13:22:39
[SOL] autonomic:Light: 68 at 13:22:46
[SOL] autonomic:Light: 71 at 13:22:52
[SOL] autonomic:Light: 70 at 13:22:58
[SOL] autonomic:Light: 72 at 13:23:5
[SOL] autonomic:Light: 69 at 13:23:11
[SOL] autonomic:Light: 68 at 13:23:17
[SOL] autonomic:Light: 71 at 13:23:24
[SOL] autonomic:Light: 70 at 13:23:30
[SOL] autonomic:Light: 72 at 13:23:36
[SOL] autonomic:Light: 71 at 13:23:43
[SOL] autonomic:Light: 71 at 13:23:49
[SOL] autonomic:Light: 70 at 13:23:55
[SOL] autonomic:Light: 71 at 13:24:2
[SOL] autonomic:Light: 70 at 13:24:8
[SOL] autonomic:Light: 71 at 13:24:15
[SOL] autonomic:Light: 69 at 13:24:21
[SOL] autonomic:Light: 68 at 13:24:27
[SOL] autonomic:Light: 70 at 13:24:34
[SOL] autonomic:Light: 70 at 13:24:40
[SOL] autonomic:Light: 70 at 13:24:46
[SOL] autonomic:Light: 71 at 13:24:53
[SOL] autonomic:Light: 70 at 13:24:59
[SOL] autonomic:Light: 71 at 13:25:5
